title_clean,venue_clean,authors_raw,authors_parsed,authors_is_missing,doi_clean,doi_prefix,doi_suffix_head,doi_suffix_head_missing,Label
global type inference for java using answer set programming.,iclp,Fabrizio Riguzzi,fabrizio riguzzi,0,10.1201/9781003427421-6,10.1201,,1,4
reasoning in assumption-based argumentation via sat.,kr,"Andreas Niskanen, Masood Feyzbakhsh Rankooh, Tuomo Lehtonen, Matti Järvisalo",andreas niskanen | masood feyzbakhsh rankooh | tuomo lehtonen | matti j rvisalo,0,10.24963/kr.2025/68,10.24963,kr,0,4
bottom-up stratified probabilistic logic programming with fusemate.,iclp,"Peter Baumgartner, Elena Tartaglia",peter baumgartner | elena tartaglia,0,10.4204/eptcs.385.11,10.4204,eptcs,0,3
constraint propagation and explanation over novel types by abstract compilation.,iclp,Krinke Andreas,krinke andreas,0,10.51202/9783186474209-21,10.51202,,1,4
f rdxel: an expert system for danish traffic law.,iclp,"Luís Cruz-Filipe, Jonas Vistrup",lu s cruz-filipe | jonas vistrup,0,10.4204/eptcs.439.26,10.4204,eptcs,0,1
logic tensor network-enhanced generative adversarial network.,iclp,"Nijesh Upreti, Vaishak Belle",nijesh upreti | vaishak belle,0,10.4204/eptcs.439.8,10.4204,eptcs,0,3
towards incremental and modular context-sensitive analysis.,iclp,"ISABEL GARCIA-CONTRERAS, JOSÉ F. MORALES, MANUEL V. HERMENEGILDO",isabel garcia-contreras | jos f. morales | manuel v. hermenegildo,0,10.1017/s1471068420000496,10.1017,s,0,2
implementing the first-order logic of here and there.,iclp,"Jens Otten, Torsten Schaub",jens otten | torsten schaub,0,10.4204/eptcs.439.31,10.4204,eptcs,0,2
automating defeasible reasoning in law with answer set programming.,iclp,Guido Governatori,guido governatori,0,10.31219/osf.io/bgtk6,10.31219,osf,0,3
quantification and aggregation over concepts of the ontology.,iclp,"Pierre Carbonnelle, Matthias Van der Hallen, Marc Denecker",pierre carbonnelle | matthias van der hallen | marc denecker,0,10.4204/eptcs.385.22,10.4204,eptcs,0,4
intelligent instantiation and supersafe rules.,iclp,"Gi Hyun Lim, Il Hong Suh",gi hyun lim | il hong suh,0,10.1007/s11370-010-0063-6,10.1007,s,0,1
knowledge-based stable roommates problems.,iclp,Müge Fidan,m ge fidan,0,10.1609/aaai.v40i48.42148,10.1609,aaai,0,4
fixpoint semantics for recursive shacl.,iclp,"Bart Bogaerts, Maxime Jakubowski",bart bogaerts | maxime jakubowski,0,10.4204/eptcs.345.14,10.4204,eptcs,0,1
logic programming with extensible types.,iclp,"Ivan Perez, Angel Herranz",ivan perez | angel herranz,0,10.4204/eptcs.439.18,10.4204,eptcs,0,3
graphical conditions for the existence unicity and number of regular models.,iclp,"Van-Giang Trinh, Belaid Benhamou, Sylvain Soliman, François Fages",van-giang trinh | belaid benhamou | sylvain soliman | fran ois fages,0,10.4204/eptcs.416.16,10.4204,eptcs,0,1
logic-based composition of business process models.,kr,"Valeria Fionda, Antonio Ielo, Francesco Ricca",valeria fionda | antonio ielo | francesco ricca,0,10.24963/kr.2023/27,10.24963,kr,0,2
an answer set programming framework for reasoning about truthfulness of statements by agents.,iclp,"Marcello Balduccini, Michael Gelfond, Enrico Pontelli, Tran Cao Son",marcello balduccini | michael gelfond | enrico pontelli | tran cao son,0,10.24963/kr.2020/8,10.24963,kr,0,3
re integration of logical english and s casp .,iclp,,,1,10.3403/01582237,10.3403,,1,4
on the trap space semantics of normal logic programs.,iclp,"Van-Giang Trinh, Sylvain Soliman, François Fages, Belaid Benhamou",van-giang trinh | sylvain soliman | fran ois fages | belaid benhamou,0,10.4204/eptcs.439.21,10.4204,eptcs,0,4
a principle-based framework for analyzing dialogue game-based semantics.,kr,"Yamil O. Soto, Andrea Cohen, Cristhian Ariel D. Deagustini, Maria Vanina Martinez, Gerardo I. Simari",yamil o. soto | andrea cohen | cristhian ariel d. deagustini | maria vanina martinez | gerardo i. simari,0,10.24963/kr.2025/54,10.24963,kr,0,3
compilation of aggregates in asp.,iclp,Giuseppe Mazzotta,giuseppe mazzotta,0,10.4204/eptcs.345.45,10.4204,eptcs,0,2
exploring desirable configurations in global logistics with heuristic search in answer set programming.,kr,"Olcay Altay-Kern, Emmanuelle Dietz, Isabelle Kuhlmann, Matthias Thimm",olcay altay-kern | emmanuelle dietz | isabelle kuhlmann | matthias thimm,0,10.24963/kr.2025/56,10.24963,kr,0,5
translating definitions into the language of logic programming: a case study.,iclp,Christopher John Hogger,christopher john hogger,0,10.1093/oso/9780198538202.003.0010,10.1093,oso,0,5
context-based belief revision.,kr,Bernhard Nebel,bernhard nebel,0,10.1017/cbo9780511526664.003,10.1017,cbo,0,1
a family of decidable bi-intuitionistic modal logics.,kr,"David Fernández-Duque, Brett McLean, Lukas Zenger",david fern ndez-duque | brett mclean | lukas zenger,0,10.24963/kr.2023/26,10.24963,kr,0,1
picat through the lens of advent of code.,iclp,"Neng-Fa Zhou, Cristian Grozea, Håkan Kjellerstrand, Oisín Mac Fhearaí",neng-fa zhou | cristian grozea | h kan kjellerstrand | ois n mac fheara,0,10.4204/eptcs.439.36,10.4204,eptcs,0,1
tutorial: automating commonsense reasoning.,iclp,,,1,10.1016/b978-0-12-801416-5.09988-5,10.1016,b,0,5
probabilistic htn planning: formalization and computational complexity analysis.,kr,"Mohammad Yousefi, Johannes Schmalz, Patrik Haslum, Pascal Bercher",mohammad yousefi | johannes schmalz | patrik haslum | pascal bercher,0,10.24963/kr.2025/84,10.24963,kr,0,2
a simple complete search for logic programming.,iclp,"Jason Hemann, Daniel P. Friedman, William E. Byrd, Matthew Might",jason hemann | daniel p. friedman | william e. byrd | matthew might,0,10.1145/2989225.2989230,10.1145,,1,5
formalizing informal logic and natural language deductivism.,iclp,"Douglas Walton, Thomas F. Gordon",douglas walton | thomas f. gordon,0,10.22329/il.v35i4.4335,10.22329,il,0,3
counterfactual explanations as plans.,iclp,Vaishak Belle,vaishak belle,0,10.4204/eptcs.416.14,10.4204,eptcs,0,1
declarative algorithms in datalog with extrema: their formal semantics simplified.,iclp,"Jin Wang, Jiacheng Wu, Mingda Li, Jiaqi Gu, Ariyam Das, Carlo Zaniolo",jin wang | jiacheng wu | mingda li | jiaqi gu | ariyam das | carlo zaniolo,0,10.1007/s00778-021-00665-6,10.1007,s,0,3
planning and scheduling in digital health with answer set programming.,iclp,Marco Mochi,marco mochi,0,10.4204/eptcs.364.38,10.4204,eptcs,0,5
sorting strategies for interactive conflict resolution in asp.,iclp,"Andre Thevapalan, Gabriele Kern-Isberner",andre thevapalan | gabriele kern-isberner,0,10.4204/eptcs.385.13,10.4204,eptcs,0,2
restkb: a library of commonsense knowledge about dining at a restaurant.,iclp,Daniela Inclezan,daniela inclezan,0,10.4204/eptcs.306.19,10.4204,eptcs,0,3
nesyfold: extracting logic programs from convolutional neural networks.,iclp,"Jens Lehmann, Sebastian Bader, Pascal Hitzler",jens lehmann | sebastian bader | pascal hitzler,0,10.1007/s10489-008-0142-y,10.1007,s,0,5
interactive explanations by conflict resolution via argumentative exchanges.,kr,"Antonio Rago, Hengzhi Li, Francesca Toni",antonio rago | hengzhi li | francesca toni,0,10.24963/kr.2023/57,10.24963,kr,0,3
probabilistic synthesis and verification for ltl on finite traces.,kr,"Benjamin Aminof, Linus Cooper, Sasha Rubin, Moshe Y. Vardi, Florian Zuleger",benjamin aminof | linus cooper | sasha rubin | moshe y. vardi | florian zuleger,0,10.24963/kr.2024/3,10.24963,kr,0,3
nemo: your friendly and versatile rule reasoning toolkit.,kr,"Alex Ivliev, Lukas Gerlach, Simon Meusel, Jakob Steinberg, Markus Krötzsch",alex ivliev | lukas gerlach | simon meusel | jakob steinberg | markus kr tzsch,0,10.24963/kr.2024/70,10.24963,kr,0,4
on computing universal plans for partially observable multi-agent path finding.,iclp,"Fengming Zhu, Fangzhen Lin",fengming zhu | fangzhen lin,0,10.4204/eptcs.439.11,10.4204,eptcs,0,1
correcting autonomous driving object detection misclassifications with automated commonsense reasoning.,iclp,"Keegan Kimbrell, Wang Tianhao, Feng Chen, Gopal Gupta",keegan kimbrell | wang tianhao | feng chen | gopal gupta,0,10.4204/eptcs.439.10,10.4204,eptcs,0,2
simple contrapositive assumption-based argumentation with partially-ordered preferences.,kr,"Ofer Arieli, Jesse Heyninck",ofer arieli | jesse heyninck,0,10.24963/kr.2023/6,10.24963,kr,0,3
structural decompositions of epistemic logic programs.,iclp,"Markus Hecher, Michael Morak, Stefan Woltran",markus hecher | michael morak | stefan woltran,0,10.1609/aaai.v34i03.5672,10.1609,aaai,0,2
exp aspc : explaining asp programs with choice atoms and constraint rules.,iclp,"Ly Ly Trieu, Tran Cao Son, Marcello Balduccini",ly ly trieu | tran cao son | marcello balduccini,0,10.4204/eptcs.345.28,10.4204,eptcs,0,5
conditional splittings of belief bases and nonmonotonic inference with c-representations.,kr,"Christoph Beierle, Lars-Phillip Spiegel, Jonas Haldimann, Marco Wilhelm, Jesse Heyninck, Gabriele Kern-Isberner",christoph beierle | lars-phillip spiegel | jonas haldimann | marco wilhelm | jesse heyninck | gabriele kern-isberner,0,10.24963/kr.2024/10,10.24963,kr,0,1
towards structure learning under the credal semantics.,iclp,Derek Shiller,derek shiller,0,10.4324/9780429331169-6,10.4324,,1,1
proceedings of the 9th workshop on advances in argumentation in artificial intelligence ai3 2025 co-located with the 41st international conference on logic programming iclp 2025 rende italy september 13 2025.,iclp,"José Júlio Alferes, Luís Moniz Pereira",jos j lio alferes | lu s moniz pereira,0,10.1007/bfb0030657,10.1007,bfb,0,1
a tractable logic for molecular biology.,iclp,"Adrien Husson, Jean Krivine",adrien husson | jean krivine,0,10.4204/eptcs.306.17,10.4204,eptcs,0,3
cognitively adequate complexity of reasoning in a description logic.,kr,F. M. Donini,f. m. donini,0,10.1017/cbo9780511711787.005,10.1017,cbo,0,3
an analysis of gibbs sampling for probabilistic logic programs.,iclp,,,1,10.7551/mitpress/4304.003.0016,10.7551,mitpress,0,2
rule based temporal inference.,iclp,"Fangyi Li, Qiang Shen",fangyi li | qiang shen,0,10.1007/978-981-97-0491-0 5,10.1007,,1,5
the janus system: multi-paradigm programming in prolog and python.,iclp,"Theresa Swift, Carl Andersen",theresa swift | carl andersen,0,10.4204/eptcs.385.24,10.4204,eptcs,0,1
value of information in probabilistic logic programs.,iclp,"Sarthak Ghosh, C. R. Ramakrishnan",sarthak ghosh | c. r. ramakrishnan,0,10.4204/eptcs.306.14,10.4204,eptcs,0,5
axiomatization of approximate exclusion.,kr,Matilda Häggblom,matilda h ggblom,0,10.24963/kr.2024/38,10.24963,kr,0,1
ltl synthesis under multi-agent environment assumptions.,kr,"Benjamin Aminof, Giuseppe De Giacomo, Giuseppe Perelli, Sasha Rubin",benjamin aminof | giuseppe de giacomo | giuseppe perelli | sasha rubin,0,10.24963/kr.2025/69,10.24963,kr,0,1
towards one-shot learning for text classification using inductive logic programming.,iclp,"Ghazal Afroozi Milani, Daniel Cyrus, Alireza Tamaddoni-Nezhad",ghazal afroozi milani | daniel cyrus | alireza tamaddoni-nezhad,0,10.4204/eptcs.385.9,10.4204,eptcs,0,4
an s casp in-browser playground based on ciao prolog.,iclp,"Daniela Ferreiro, José F. Morales, Salvador Abreu, Manuel V. Hermenegildo",daniela ferreiro | jos f. morales | salvador abreu | manuel v. hermenegildo,0,10.4204/eptcs.385.33,10.4204,eptcs,0,1
a machine learning guided rewriting approach for asp logic programs.,iclp,"Elena Mastria, Jessica Zangari, Simona Perri, Francesco Calimeri",elena mastria | jessica zangari | simona perri | francesco calimeri,0,10.4204/eptcs.325.31,10.4204,eptcs,0,5
how lucky are you to know your way a probabilistic approach to knowing how logics.,kr,"Pablo F. Castro, Pedro R. D'Argenio, Raul Fervari",pablo f. castro | pedro r. d argenio | raul fervari,0,10.24963/kr.2025/23,10.24963,kr,0,5
probabilistic action language pbc+.,iclp,"Joohyung Lee, Yi Wang",joohyung lee | yi wang,0,10.29007/7fmn,10.29007,fmn,0,1
finest syntax splittings of ranking functions and total preorders on worlds.,kr,"Jonas Philipp Haldimann, Christoph Beierle",jonas philipp haldimann | christoph beierle,0,10.24963/kr.2023/75,10.24963,kr,0,1
trace-cs: a hybrid logic-llm system for explainable course scheduling.,kr,"Stylianos Loukas Vasileiou, William Yeoh",stylianos loukas vasileiou | william yeoh,0,10.24963/kr.2025/63,10.24963,kr,0,5
proof-relevant resolution for elaboration of programming languages.,iclp,"Axel Kerinec, Giulio Manzonetto, Federico Olimpieri",axel kerinec | giulio manzonetto | federico olimpieri,0,10.1145/3571201,10.1145,,1,2
controlled natural language models.,iclp,Francis Frydman,francis frydman,0,10.20944/preprints202512.1848.v1,10.20944,preprints,0,4
pushing the boundaries of tractable multiperspective reasoning: a deduction calculus for standpoint el+.,kr,"Lucía Gómez Álvarez, Sebastian Rudolph, Hannes Strass",luc a g mez lvarez | sebastian rudolph | hannes strass,0,10.24963/kr.2023/33,10.24963,kr,0,1
extended magic for negation: efficient demand-driven evaluation of stratified datalog with precise complexity guarantees.,iclp,"K. Tuncay Tekle, Yanhong A. Liu",k. tuncay tekle | yanhong a. liu,0,10.4204/eptcs.306.28,10.4204,eptcs,0,3
logic programming and machine ethics.,iclp,"Luís Moniz Pereira, Ari Saptawijaya",lu s moniz pereira | ari saptawijaya,0,10.1007/978-3-319-29354-7 6,10.1007,,1,1
explainable and trustworthy traffic sign detection for safe autonomous driving: an inductive logic programming approach.,iclp,"Zahra Chaghazardi, Saber Fallah, Alireza Tamaddoni-Nezhad",zahra chaghazardi | saber fallah | alireza tamaddoni-nezhad,0,10.4204/eptcs.385.21,10.4204,eptcs,0,1
equilibrium description logics: results on complexity and relations to circumscription.,kr,"Federica Di Stefano, Mantas Šimkus",federica di stefano | mantas imkus,0,10.24963/kr.2024/29,10.24963,kr,0,1
model revision of logical regulatory networks using logic-based tools.,iclp,Svetlana Bulashevska,svetlana bulashevska,0,10.4018/9781605666853.ch005,10.4018,ch,0,4
a tool set for converting controlled natural languages into ai formalisms.,iclp,,,1,10.7551/mitpress/2123.003.0002,10.7551,mitpress,0,5
logical lease litigation: prolog and llms for rental law compliance in new york.,iclp,"Sanskar Sehgal, Yanhong A. Liu",sanskar sehgal | yanhong a. liu,0,10.4204/eptcs.416.4,10.4204,eptcs,0,3
a three-valued semantics for typed logic programming.,iclp,"João Barbosa, Mário Florido, Vítor Santos Costa",jo o barbosa | m rio florido | v tor santos costa,0,10.4204/eptcs.306.10,10.4204,eptcs,0,5
beyond traditional neural networks: toward adding reasoning and learning capabilities through computational logic techniques.,iclp,Andrea Rafanelli,andrea rafanelli,0,10.4204/eptcs.385.51,10.4204,eptcs,0,5
less manual work for safety engineers: towards an automated safety reasoning with safety patterns.,iclp,"Yuri Gil Dantas, Antoaneta Kondeva, Vivek Nigam",yuri gil dantas | antoaneta kondeva | vivek nigam,0,10.4204/eptcs.325.29,10.4204,eptcs,0,1
efficient compliance computation in probabilistic declarative specifications.,iclp,"Jeongwoon Choi, Jungyeon Kim, Seokho Chi",jeongwoon choi | jungyeon kim | seokho chi,0,10.2139/ssrn.6381878,10.2139,ssrn,0,3
unique characterisability and learnability of temporal queries mediated by an ontology.,kr,"Jean Christoph Jung, Vladislav Ryzhikov, Frank Wolter, Michael Zakharyaschev",jean christoph jung | vladislav ryzhikov | frank wolter | michael zakharyaschev,0,10.24963/kr.2024/46,10.24963,kr,0,4
operator-based semantics for choice programs: is choosing losing,kr,Jesse Heyninck,jesse heyninck,0,10.24963/kr.2024/42,10.24963,kr,0,3
scalable robotic intra-logistics with answer set programming.,iclp,,,1,10.1017/cbo9781139342124.007,10.1017,cbo,0,2
semantic analysis of assurance cases using s casp .,iclp,Alistair Duke,alistair duke,0,10.4018/978-1-60566-066-0.ch003,10.4018,ch,0,3
computational thinking with logic programming.,iclp,,,1,10.1017/cbo9780511984747.027,10.1017,cbo,0,4
complexity of abduction in ukasiewicz logic.,kr,"Katsumi Inoue, Daniil Kozhemiachenko",katsumi inoue | daniil kozhemiachenko,0,10.24963/kr.2025/41,10.24963,kr,0,2
leasing the cloud-edge continuum la carte.,iclp,"Stefano Forti, Ahmad Ibrahim, Antonio Brogi",stefano forti | ahmad ibrahim | antonio brogi,0,10.4204/eptcs.385.28,10.4204,eptcs,0,1
a logic-based framework for database repairs.,kr,"Nicolas Fröhlich, Arne Meier, Nina Pardal, Jonni Virtema",nicolas fr hlich | arne meier | nina pardal | jonni virtema,0,10.24963/kr.2025/32,10.24963,kr,0,3
memory management in resource-bounded agents.,iclp,Valentina Pitoni,valentina pitoni,0,10.4204/eptcs.306.61,10.4204,eptcs,0,1
advances in logic-based entity resolution: enhancing aspen with local merges and optimality criteria.,kr,"Zhiliang Xiang, Meghyn Bienvenu, Gianluca Cima, Víctor Gutiérrez-Basulto, Yazmín Ibáñez-García",zhiliang xiang | meghyn bienvenu | gianluca cima | v ctor guti rrez-basulto | yazm n ib ez-garc a,0,10.24963/kr.2025/64,10.24963,kr,0,5
modeling administrative discretion using goal-directed answer set programming.,iclp,"Joaquín Arias, Mar Moreno-Rebato, Jose A. Rodriguez-García, Sascha Ossowski",joaqu n arias | mar moreno-rebato | jose a. rodriguez-garc a | sascha ossowski,0,10.1007/978-3-030-85713-4 25,10.1007,,1,5
an asp multi-shot encoding for the aircraft routing and maintenance planning problem.,iclp,"Pierre Tassel, Mohamed Rbaia",pierre tassel | mohamed rbaia,0,10.4204/eptcs.364.22,10.4204,eptcs,0,3
from acceptance to rejection in abstract argumentation.,kr,"Anne-Marie Heine, Markus Ulbricht",anne-marie heine | markus ulbricht,0,10.24963/kr.2024/41,10.24963,kr,0,5
the asp-based nurse scheduling system at the university of yamanashi hospital.,iclp,"Hidetomo Nabeshima, Mutsunori Banbara, Torsten Schaub, Takehide Soh",hidetomo nabeshima | mutsunori banbara | torsten schaub | takehide soh,0,10.4204/eptcs.439.23,10.4204,eptcs,0,3
controlled natural languages for knowledge representation and reasoning.,iclp,"Len Schubert, Moderator",len schubert | moderator,0,10.1016/b978-1-4832-1452-8.50157-3,10.1016,b,0,5
towards static performance guarantees for programs with run-time checks.,iclp,"Maximiliano Klemen, Nataliia Stulova, Pedro López-García, José Morales, Manuel V. Hermenegildo",maximiliano klemen | nataliia stulova | pedro l pez-garc a | jos morales | manuel v. hermenegildo,0,10.1145/3236950.3236970,10.1145,,1,1
theory solving made easy with clingo 5.,iclp,KIM McCARRON,kim mccarron,0,10.1097/00152258-200701000-00006,10.1097,,1,5
explaining agent behaviour via causal analysis of mental states.,kr,,,1,10.5040/9781501331169.0007,10.5040,,1,2
constraint programming algorithms for route planning exploiting geometrical information.,iclp,Alessandro Bertagnon,alessandro bertagnon,0,10.4204/eptcs.325.38,10.4204,eptcs,0,3
search-guided generation of properties for program analyzers.,iclp,Yixuan Liang,yixuan liang,0,10.54985/peeref.2601a8981167,10.54985,peeref,0,4
blawx: web-based user-friendly rules as code.,iclp,"Mehmet Bektasoglu, Abdullah S. Bayraktar",mehmet bektasoglu | abdullah s. bayraktar,0,10.1016/j.radphyschem.2026.113646,10.1016,j,0,1
kalm: a rule-based approach for knowledge authoring and question answering.,iclp,Tiantian Gao,tiantian gao,0,10.4204/eptcs.306.52,10.4204,eptcs,0,5
on strong and weak admissibility in non-flat assumption-based argumentation.,kr,"Matti Berthold, Lydia Blümel, Anna Rapberger",matti berthold | lydia bl mel | anna rapberger,0,10.24963/kr.2025/14,10.24963,kr,0,1
aba learning via asp.,iclp,"Emanuele De Angelis, Maurizio Proietti, Francesca Toni",emanuele de angelis | maurizio proietti | francesca toni,0,10.4204/eptcs.385.1,10.4204,eptcs,0,1
a gaze into the internal logic of graph neural networks with logic.,iclp,Paul Tarau,paul tarau,0,10.4204/eptcs.364.9,10.4204,eptcs,0,3
a model-oriented approach for lifting symmetries in answer set programming.,iclp,Alice Tarzariol,alice tarzariol,0,10.4204/eptcs.364.35,10.4204,eptcs,0,4
assessing drivers apos situation awareness in semi-autonomous vehicles: asp based characterisations of driving dynamics for modelling scene interpretation and projection.,iclp,"Jakob Suchan, Jan-Patrick Osterloh",jakob suchan | jan-patrick osterloh,0,10.4204/eptcs.385.29,10.4204,eptcs,0,2
modelling infectious disease dynamics with probabilistic logic programming.,iclp,Fabrizio Riguzzi,fabrizio riguzzi,0,10.1201/9781003338192-2,10.1201,,1,2
knowledge base embeddings: semantics and theoretical properties.,kr,"Camille Bourgaux, Ricardo Guimarães, Raoul Koudijs, Victor Lacerda, Ana Ozaki",camille bourgaux | ricardo guimar es | raoul koudijs | victor lacerda | ana ozaki,0,10.24963/kr.2024/77,10.24963,kr,0,5
complexity of weighted first-order model counting in the two-variable fragment with counting quantifiers: a bound to beat.,kr,"Jan Tóth, Ondřej Kuželka",jan t th | ond ej ku elka,0,10.24963/kr.2024/64,10.24963,kr,0,2
top-down splitting property for epistemic logic programs.,iclp,"Pedro Cabalar, Jorge Fandinno, Luis Fariñas del Cerro",pedro cabalar | jorge fandinno | luis fari as del cerro,0,10.24963/ijcai.2020/653,10.24963,ijcai,0,2
most general variant unifiers.,iclp,"Santiago Escobar, Julia Sapiña",santiago escobar | julia sapi a,0,10.4204/eptcs.306.21,10.4204,eptcs,0,1
extending description logics with generic concepts - the tale of two semantics.,kr,"Joshua Hirschbrunn, Yevgeny Kazakov",joshua hirschbrunn | yevgeny kazakov,0,10.24963/kr.2024/43,10.24963,kr,0,4
an information-flow perspective on explainability requirements: specification and verification.,kr,"Bernd Finkbeiner, Hadar Frenkel, Julian Siber",bernd finkbeiner | hadar frenkel | julian siber,0,10.24963/kr.2025/29,10.24963,kr,0,5
proceedings of the international conference on logic programming 2022 workshops co-located with the 38th international conference on logic programming iclp 2022 haifa israel july 31st - august 1st 2022.,iclp,"YULIYA LIERLER, JOSE F. MORALES",yuliya lierler | jose f. morales,0,10.1017/s147106842200028x,10.1017,s,0,1
a framework for inconsistency-tolerant reasoning with sets of models.,kr,"Yehia Hatab, Kai Sauerwald, Matthias Thimm",yehia hatab | kai sauerwald | matthias thimm,0,10.24963/kr.2025/37,10.24963,kr,0,2
towards run-time checks simplification via term hiding.,iclp,,,1,10.1007/978-1-84882-314-3 10,10.1007,,1,3
modeling clique coloring via asp q .,iclp,Hoifung Poon,hoifung poon,0,10.33915/etd.1008,10.33915,etd,0,2
research summary: explainable artificial intelligence in answer set programming and machine learning.,iclp,Vladimir Lifschitz,vladimir lifschitz,0,10.1016/s0004-3702 02 00186-8,10.1016,s,0,5
front matter table of contents preface list of authors.,iclp,,,1,10.1484/m.hmantica-eb.5.152373,10.1484,m,0,1
interpretable hybrid machine learning models using fold-r++ and answer set programming.,iclp,"Sanne Wielinga, Jesse Heyninck",sanne wielinga | jesse heyninck,0,10.4204/eptcs.439.9,10.4204,eptcs,0,5
distance-restricted explanations: theoretical underpinnings amp efficient implementation.,kr,"Yacine Izza, Xuanxiang Huang, Antonio Morgado, Jordi Planes, Alexey Ignatiev, Joao Marques-Silva",yacine izza | xuanxiang huang | antonio morgado | jordi planes | alexey ignatiev | joao marques-silva,0,10.24963/kr.2024/45,10.24963,kr,0,5
a system for explainable answer set programming.,iclp,"Pedro Cabalar, Jorge Fandinno, Brais Muñiz",pedro cabalar | jorge fandinno | brais mu iz,0,10.4204/eptcs.325.19,10.4204,eptcs,0,5
modelling human mental-states in an action language following the theory of planned behavior.,iclp,"Rory C. O’Connor, Christopher J. Armitage",rory c. o connor | christopher j. armitage,0,10.4324/9781315126449-2,10.4324,,1,1
grounding rule-based argumentation using datalog.,kr,"Martin Diller, Sarah Alice Gaggl, Philipp Hanisch, Giuseppina Monterosso, Fritz Rauschenbach",martin diller | sarah alice gaggl | philipp hanisch | giuseppina monterosso | fritz rauschenbach,0,10.24963/kr.2025/28,10.24963,kr,0,5
on the complexity and properties of preferential propositional dependence logic.,kr,"Kai Sauerwald, Arne Meier, Juha Kontinen",kai sauerwald | arne meier | juha kontinen,0,10.24963/kr.2025/51,10.24963,kr,0,2
generating concurrent programs from sequential data structure knowledge using answer set programming.,iclp,"Sarat Chandra Varanasi, Neeraj Mittal, Gopal Gupta",sarat chandra varanasi | neeraj mittal | gopal gupta,0,10.4204/eptcs.345.36,10.4204,eptcs,0,4
automated theorem proving for prolog verification.,iclp,"Fred Mesnard, Thierry Marianne, Etienne Payet",fred mesnard | thierry marianne | etienne payet,0,10.29007/c25r,10.29007,c,0,3
actual causality in contextual abduction.,iclp,"Degoldie Sonny, Ari Saptawijaya, Raja Oktovin Parhasian Damanik",degoldie sonny | ari saptawijaya | raja oktovin parhasian damanik,0,10.1109/icacsis51025.2020.9263160,10.1109,icacsis,0,2
understanding problog as probabilistic argumentation.,iclp,"Francesca Toni, Nico Potyka, Markus Ulbricht, Pietro Totis",francesca toni | nico potyka | markus ulbricht | pietro totis,0,10.4204/eptcs.385.18,10.4204,eptcs,0,4
faithful differentiable reasoning with reshuffled region-based embeddings.,kr,"Aleksandar Pavlovic, Emanuel Sallinger, Steven Schockaert",aleksandar pavlovic | emanuel sallinger | steven schockaert,0,10.24963/kr.2025/48,10.24963,kr,0,1
action language ma with higher-order action observability.,kr,"David Buckingham, Matthias Scheutz, Tran Cao Son, Francesco Fabiano",david buckingham | matthias scheutz | tran cao son | francesco fabiano,0,10.24963/kr.2024/20,10.24963,kr,0,2
dynamic epistemic logic with asp updates: application to conditional planning.,iclp,,,1,10.1007/978-1-4020-5839-4 2,10.1007,,1,3
using ontology to analyze sentiment of comments on vietnamese social media.,kr,,,1,10.53796/hnsj31027,10.53796,hnsj,0,5
generalizing level ranking constraints for monotone and convex aggregates.,iclp,Tomi Janhunen,tomi janhunen,0,10.4204/eptcs.385.12,10.4204,eptcs,0,1
a framework for conditional reasoning in answer set programming.,iclp,"Mario Alviano, Laura Giordano, Daniele Theseider Dupré",mario alviano | laura giordano | daniele theseider dupr,0,10.4204/eptcs.439.13,10.4204,eptcs,0,4
lp2pb: translating answer set programs into pseudo-boolean theories.,iclp,"Wolf De Wulf, Bart Bogaerts",wolf de wulf | bart bogaerts,0,10.4204/eptcs.325.25,10.4204,eptcs,0,5
enhancing compilation-based asp solving.,iclp,"Carmine Dodaro, Giuseppe Mazzotta, Francesco Ricca",carmine dodaro | giuseppe mazzotta | francesco ricca,0,10.24963/kr.2024/30,10.24963,kr,0,5
quantified constraint handling rules.,iclp,"Vincent Barichard, Igor Stéphan",vincent barichard | igor st phan,0,10.1145/3728640,10.1145,,1,2
masp-reduce: a proposal for distributed computation of stable models.,iclp,Marco De Bortoli,marco de bortoli,0,10.4204/eptcs.306.60,10.4204,eptcs,0,1
embedding s casp in prolog.,iclp,Mehul Chandrakant Solanki,mehul chandrakant solanki,0,10.24124/2016/bpgub1142,10.24124,bpgub,0,3
learning robust reward machines from noisy labels.,kr,"Roko Parać, Lorenzo Nodari, Leo Ardon, Daniel Furelos-Blanco, Federico Cerutti, Alessandra Russo",roko para | lorenzo nodari | leo ardon | daniel furelos-blanco | federico cerutti | alessandra russo,0,10.24963/kr.2024/85,10.24963,kr,0,2
strong equivalence for lpmln programs.,iclp,"Joohyung Lee, Man Luo",joohyung lee | man luo,0,10.4204/eptcs.306.24,10.4204,eptcs,0,1
a dataset of contractual events in court decisions.,iclp,Robert M. Guion,robert m. guion,0,10.1037/e580582009-009,10.1037,e,0,4
modeling and solving graph synthesis problems using sat-encoded reachability constraints in picat.,iclp,Neng-Fa Zhou,neng-fa zhou,0,10.4204/eptcs.345.30,10.4204,eptcs,0,1
smt-based constraint answer set solver ezsmt system description .,iclp,Yuting Zhao,yuting zhao,0,10.14711/thesis-b810483,10.14711,thesis,0,2
a speech about generative datalog and non-measurable sets.,iclp,,,1,10.1017/9781009003797.008,10.1017,,1,2
knowledge graphs amp reasoning in concert: automating regulation in corporate economics.,iclp,,,1,10.1049/pbpc063e ch3,10.1049,pbpc,0,2
